age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_sub_willingness_binary,uses_smartphone,uses_computer,uses_speaker,uses_wearable,device_diversity,primary_listening_device,Age_Segment,Relaxation,Motivational,Sadness,Social,Uses_Recommendations,Uses_Playlists,Uses_Radio,Uses_External,music_expl_category,Travel_Listening,Leisure_Listening,Workout_Listening,Study_Listening,Office_Listening,Night_Winddown,pod_lis_category
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Very Dissatisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,0,0,1,External Discovery,1,1,0,0,1,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Individual plan,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,1,0,Playlist-driven,1,1,0,0,0,0,Regular user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Social gatherings or parties,Social gatherings,recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,0,0,1,1,0,0,0,Algorithm-driven,0,0,0,0,0,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Individual plan,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,Shorter,Ok,1,1,0,0,0,1,Smartphone,Young Adult,0,0,1,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Non-podcast user
20-35,Male,More than 2 years,Smartphone,Free,Yes,Individual plan,Music,Other,Morning,Relaxation and stress relief,Office hours,recommendations,5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,0,0,0,1,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium,Yes,Individual plan,Music,Classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied,1,1,1,1,0,3,Smartphone,Young Adult,1,1,1,1,1,1,1,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium,Yes,Family plan,Music,Other,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,1,1,1,0,0,2,Smartphone,Young Adult,1,0,1,0,1,0,1,0,Algorithm-driven,0,0,0,1,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,0,0,1,External Discovery,1,1,1,0,0,0,Non-podcast user
12-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium,Yes,Student plan,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied,1,1,0,1,0,2,Smartphone,Teen Listener,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,1,0,1,0,Regular user
35-60,Male,Less than 6 months,Smartphone,Free,No,None,Music,Other,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Very Dissatisfied,0,1,0,0,0,1,Smartphone,Adult Listener,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,1,0,Non-podcast user
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free,No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied,0,1,1,0,0,2,Smartphone,Young Adult,1,1,0,0,1,0,0,0,Algorithm-driven,0,1,0,1,0,0,Regular user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Light user
20-35,Male,1 year to 2 years,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,0,0,0,1,0,Light user
12-20,Male,More than 2 years,Smartphone,Free,No,None,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Teen Listener,0,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,0,1,0,0,0,Non-podcast user
12-20,Male,More than 2 years,Smartphone,Free,Yes,Unknown,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok,1,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,0,1,0,0,Playlist-driven,1,1,0,0,0,0,Light user
12-20,Male,1 year to 2 years,Smartphone,Free,No,None,Music,Rap,Night,Uplifting and motivational,Workout session,Others,1,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Teen Listener,0,1,0,0,0,0,0,1,External Discovery,0,0,1,0,0,0,Non-podcast user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,Several times a week,Other,Story telling,Both,Shorter,Ok,0,1,1,0,0,2,Smartphone,Young Adult,0,1,0,0,1,1,1,0,Hybrid: Rec + Playlist,1,1,0,0,1,0,Regular user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,1,1,1,0,0,2,Smartphone,Young Adult,1,0,0,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
12-20,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,No Podcast Usage,Interview,Both,Shorter,Ok,0,1,1,0,0,2,Smartphone,Teen Listener,1,1,0,0,0,1,0,0,Playlist-driven,0,1,0,1,0,0,Light user
12-20,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,No Podcast Usage,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,1,1,0,1,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
12-20,Male,1 year to 2 years,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,No Podcast Usage,Conversational,Both,Both,Ok,0,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,0,1,0,0,Playlist-driven,1,0,1,0,0,0,Light user
12-20,Female,More than 2 years,Smartphone,Free,Yes,Student plan,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied,1,1,0,0,0,1,Smartphone,Teen Listener,0,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,1,1,0,0,Light user
12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied,0,1,1,0,0,2,Smartphone,Teen Listener,1,1,0,1,1,0,0,1,Algorithm-driven,1,1,1,0,0,0,Regular user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling,","recommendations, Playlists",5,Once a week,Comedy,Story telling,No Podcast Usage,Both,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,1,0,Light user
20-35,Male,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,1,0,0,0,0,Non-podcast user
12-20,Male,1 year to 2 years,Smartphone,Free,No,None,Podcast,Classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok,0,1,0,0,0,1,Smartphone,Teen Listener,0,0,1,0,0,0,0,1,External Discovery,1,0,1,0,0,0,Light user
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,Yes,Student plan,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied,1,1,0,1,0,2,Smartphone,Adult Listener,0,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free,No,None,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,No Podcast Usage,Well known individuals,Shorter,Ok,0,1,0,0,1,2,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium,Yes,Individual plan,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,1,1,1,1,0,3,Smartphone,Young Adult,1,1,1,0,1,0,0,0,Algorithm-driven,1,1,1,0,0,0,Light user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied,0,1,1,0,1,3,Smartphone,Young Adult,1,0,0,0,0,1,1,0,Playlist-driven,1,1,0,0,0,0,Regular user
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free,No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok,0,0,0,1,0,1,Speaker,Teen Listener,1,0,0,0,0,0,0,1,External Discovery,0,1,0,0,0,0,Light user
20-35,Male,Less than 6 months,Smartphone,Free,Yes,Individual plan,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,0,0,0,1,External Discovery,0,0,0,0,1,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free,No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,0,1,0,0,1,2,Smartphone,Young Adult,1,0,0,1,1,0,1,0,Algorithm-driven,1,1,0,0,1,0,Light user
12-20,Female,More than 2 years,Smartphone,Free,No,None,Music,Other,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Teen Listener,1,1,0,0,0,1,0,0,Playlist-driven,0,1,1,0,0,0,Non-podcast user
20-35,Male,Less than 6 months,Smartphone,Free,No,None,Music,Classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Comedy,Story telling,No Podcast Usage,No Podcast Usage,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Light user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,Story telling,Both,Shorter,Satisfied,0,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,1,0,0,0,Regular user
20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium,Yes,Family plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Satisfied,1,0,1,0,1,2,Computer,Young Adult,1,1,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Non-podcast user
20-35,Male,More than 2 years,Smartphone,Free,Yes,Unknown,Music,Classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
20-35,Male,Less than 6 months,Smartphone,Free,No,None,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,0,0,0,1,External Discovery,0,1,0,0,0,0,Non-podcast user
20-35,Male,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,1,0,0,0,1,External Discovery,1,1,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
12-20,Male,Less than 6 months,Computer or laptop,Free,No,None,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,0,1,0,0,1,Computer,Teen Listener,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Non-podcast user
20-35,Male,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,0,0,1,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied,1,1,1,1,1,4,Smartphone,Young Adult,1,1,0,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Regular user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,1,1,1,0,0,2,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,0,0,0,1,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,0,1,0,0,Playlist-driven,1,1,0,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free,Yes,Individual plan,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,1,0,1,3,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied,0,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,1,0,1,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Non-podcast user
